ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry
CCJ,Cameco Corporation,Nuclear,2026-05-08,124,0.020007,-0.031924,-0.044208,0.006119,3042058.333333,3566115.000000,3232433.750000,0.667941,118.388000,118.929000,119.739500,-0.071643,3,False,False,False,False,-0.056900
UEC,Uranium Energy Corp.,Nuclear,2026-05-08,124,0.045517,0.014726,0.079004,0.120473,9344741.000000,8772184.600000,8862596.150000,0.808242,15.168000,14.895000,14.785500,-0.129786,4,False,False,False,True,0.066312
LEU,Centrus Energy Corp.,Nuclear,2026-05-08,124,0.006261,0.003339,0.008267,0.107414,1105980.666667,983468.400000,936462.100000,0.729279,211.582001,209.506000,205.852501,-0.135147,5,False,False,False,True,-0.004425
SMR,NuScale Power Corporation,Nuclear,2026-05-08,124,0.057287,0.033773,0.049331,0.362649,39725571.000000,31577602.600000,39771590.650000,0.864384,12.540000,12.309000,12.070000,-0.105138,4,True,False,False,True,0.036639
OKLO,Oklo Inc.,Nuclear,2026-05-08,124,0.060398,0.029972,0.021268,0.442985,15869376.333333,12948605.800000,16642501.450000,0.596913,72.188000,71.384000,68.567000,-0.144212,4,True,False,False,True,0.008576
NNE,NANO Nuclear Energy Inc.,Nuclear,2026-05-08,124,0.205534,0.172576,0.120637,0.322254,4353199.000000,3455939.400000,2504904.850000,0.906181,25.862000,24.799000,24.729750,-0.129658,5,True,False,False,True,0.107945
GEV,GE Vernova Inc.,Renewables,2026-05-08,124,-0.050273,-0.021450,-0.094884,0.049258,2222688.666667,2133373.200000,2618698.300000,0.686206,1074.779980,1079.257983,1057.297491,-0.071485,4,False,False,False,False,-0.136359
FSLR,First Solar Inc.,Renewables,2026-05-08,124,0.002598,0.038921,0.135167,0.080995,2489812.666667,2712427.600000,2510051.900000,0.771991,216.658002,208.084001,200.842501,-0.034788,5,False,False,False,False,0.093692
NXT,Nextracker Inc.,Renewables,2026-05-08,124,0.020837,0.049862,0.037064,0.067305,1766514.000000,1581988.400000,1737777.100000,0.959123,122.624001,120.557000,116.844001,-0.067793,6,True,True,False,False,-0.004410
ARRY,Array Technologies Inc.,Renewables,2026-05-08,124,0.047677,0.093112,0.056720,0.196927,6563093.666667,5865956.200000,5877939.050000,0.868396,8.148000,7.970000,7.840000,-0.061481,5,True,False,False,False,0.015245
ORA,Ormat Technologies Inc.,Renewables,2026-05-08,124,0.054881,0.071982,0.073306,0.055980,1443139.666667,1086003.800000,909895.950000,0.730984,117.817998,115.492999,113.756499,-0.032875,5,True,False,False,False,0.031831
