ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry,leader_type,industry_quality_score,distance_from_20d_ma,distance_from_52w_high,position_in_52w_range,industry_regime,short_term_price_zone,long_term_price_zone,price_zone,current_state,watch_status,latest_volume,data_status,data_quality_note
APP,AppLovin Corporation,Adtech,2026-05-15,251,0.021011,0.069256,0.089130,0.049874,5641009.000000,5236425.400000,4695471.350000,1.138038,481.760004,479.815997,470.378499,-0.090885,7,True,True,False,True,0.147326,challenger,3,0.065100,-0.317066,0.431157,weak,neutral,reasonable_pullback,reasonable_pullback,pullback_in_uptrend,not_eligible_industry,5343627,ok,資料日期與本次市場日期一致。
ROKU,Roku Inc.,Adtech,2026-05-15,251,-0.028285,-0.042538,0.003560,0.067390,2132405.666667,2162463.400000,2822725.850000,0.674142,126.250000,126.586000,121.332000,-0.042538,4,False,False,False,False,0.061756,non_leader,3,0.022154,-0.042538,0.908956,weak,neutral,extended,extended,sideways_base,not_eligible_industry,1902917,ok,資料日期與本次市場日期一致。
MGNI,Magnite Inc.,Adtech,2026-05-15,251,-0.072359,-0.092711,-0.065598,-0.064916,3114894.000000,3199036.400000,2798164.100000,0.773465,13.068000,13.404000,13.274000,-0.121019,5,False,False,False,True,-0.007402,specialist,3,-0.034202,-0.516591,0.105744,weak,reasonable_pullback,deep_pullback,deep_pullback,falling_knife,avoid_for_now,2164282,ok,資料日期與本次市場日期一致。
PUBM,PubMatic Inc.,Adtech,2026-05-15,251,-0.006135,-0.094972,-0.049853,-0.009174,733555.333333,959213.200000,733748.300000,0.752255,9.676000,10.015000,9.852500,-0.117318,6,False,False,False,True,0.008342,non_leader,3,-0.013448,-0.288954,0.465494,weak,neutral,neutral,neutral,falling_knife,avoid_for_now,551966,ok,資料日期與本次市場日期一致。
DV,DoubleVerify Holdings Inc.,Adtech,2026-05-15,251,-0.094905,-0.180832,-0.198939,-0.158774,4141469.333333,3760801.600000,2527865.400000,1.679088,9.398000,10.291000,10.575000,-0.248691,4,False,False,False,True,-0.140743,specialist,3,-0.143262,-0.443147,0.058747,weak,deep_pullback,deep_pullback,deep_pullback,falling_knife,avoid_for_now,4244508,ok,資料日期與本次市場日期一致。
CEG,Constellation Energy Corporation,Nuclear,2026-05-15,251,-0.089918,-0.119982,-0.131932,-0.097937,4711788.000000,4834212.800000,3256108.200000,1.175073,282.128009,298.980005,299.360503,-0.172192,3,False,False,False,True,-0.048202,core_leader,4,-0.107431,-0.336886,0.131039,weak,reasonable_pullback,deep_pullback,deep_pullback,falling_knife,avoid_for_now,3826164,ok,資料日期與本次市場日期一致。
VST,Vistra Corp.,Nuclear,2026-05-15,251,-0.048955,-0.054427,-0.100464,-0.145479,6028718.666667,5779171.200000,4940067.800000,1.332706,144.621997,150.429999,154.520499,-0.131613,2,False,False,False,True,-0.016733,challenger,4,-0.096042,-0.357262,0.000000,weak,reasonable_pullback,deep_pullback,deep_pullback,falling_knife,avoid_for_now,6583656,ok,資料日期與本次市場日期一致。
CCJ,Cameco Corporation,Nuclear,2026-05-15,251,-0.080561,-0.079143,-0.108541,-0.108984,3200180.000000,3330248.000000,3223132.000000,0.952068,114.496001,116.442001,118.723500,-0.131303,2,False,False,False,True,-0.024810,core_leader,4,-0.094451,-0.198225,0.679796,weak,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,3068640,ok,資料日期與本次市場日期一致。
UEC,Uranium Energy Corp.,Nuclear,2026-05-15,251,-0.119355,-0.099604,-0.086345,-0.088176,8072180.333333,8851928.200000,8933957.050000,1.112737,15.160000,15.164000,14.924000,-0.171220,2,False,False,False,True,-0.002615,specialist,4,-0.085366,-0.322244,0.566756,weak,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,9941141,ok,資料日期與本次市場日期一致。
LEU,Centrus Energy Corp.,Nuclear,2026-05-15,251,-0.097559,-0.119278,-0.116338,-0.103276,780516.666667,839410.000000,948527.500000,0.960067,196.558002,204.070001,205.565001,-0.210617,5,False,False,False,True,-0.032607,specialist,4,-0.111716,-0.581193,0.260858,weak,reasonable_pullback,reasonable_pullback,reasonable_pullback,falling_knife,avoid_for_now,910650,ok,資料日期與本次市場日期一致。
